compound_name,class_label,class_name,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_imide,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_pyridine,fr_unbrch_alkane,fr_urea
capsaicin,0,Capsaicinoid,11.768937258545394,11.768937258545394,0.05544537876879185,0.05544537876879185,0.5388605597174689,11.090909090909092,305.41800000000006,278.202,305.199093724,122.0,0.21976034748769738,-0.5042545920952964,0.5042545920952964,0.21976034748769738,1.3636363636363635,2.1363636363636362,2.8181818181818183,16.47403055196575,10.11538859697206,2.044851861457197,-2.0790504821005875,2.25571991550365,-2.2178300141619194,5.753358247468151,-0.12088671588737639,2.4920250055706985,2.229830766701327,495.1056776323011,16.372032720186702,13.76334569749818,13.76334569749818,10.524075805453153,7.818412917679894,7.818412917679894,5.700882111716636,5.700882111716636,3.2794273651055863,3.2794273651055863,2.037167368743356,2.037167368743356,-1.9699999999999998,62666.952815086355,18.079925112331505,9.874350582736595,7.1570315426235425,132.74026872542674,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,32.06588168151062,42.87655654355964,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,46.075517296997866,7.109797541277533,35.91459291074959,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,45.09421238278229,30.351141419052592,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,24.63299590828388,24.825916360475023,7.109797541277533,18.19910120538483,0.0,31.31630321705534,4.736862953800049,5.042442725859413,0.0,11.768937258545394,12.40041090213796,0.9054321588471121,1.1677756802183077,5.071972220265489,7.880722193301697,4.757198155496766,1.5051087053278611,0.5,22.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,8.1148872303993,1.0,3.789600000000002,88.95150000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
dihydrocapsaicin,0,Capsaicinoid,11.786953840178047,11.786953840178047,0.07953834929033365,0.07953834929033365,0.6419992796126904,10.727272727272727,307.434,278.202,307.214743788,124.0,0.21976015476664018,-0.5042545920952964,0.5042545920952964,0.21976015476664018,1.2272727272727273,1.9545454545454546,2.6363636363636362,16.474030832415373,10.038115270961177,2.0484698010190323,-2.083030159325203,2.255995499154567,-2.218028630280679,5.753302694867421,-0.12089628513397553,2.4920250055706985,2.1770480308131184,457.64553245205536,16.372032720186702,14.022858721492023,14.022858721492023,10.524075805453153,8.151746251013227,8.151746251013227,6.129666457038851,6.129666457038851,3.66912802468084,3.66912802468084,2.3127273477618884,2.3127273477618884,-1.71,62666.952815086355,18.339285362247413,10.089321934363285,7.341699771773954,133.429871757611,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,45.5971279595469,30.034913297707618,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,58.91716054284989,7.109797541277533,23.762552697081826,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,57.935855628634314,18.19910120538483,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,18.71508986212249,24.323000783710405,26.372262410055562,18.19910120538483,0.0,19.16426300338758,4.736862953800049,5.048873527963292,0.0,11.786953840178047,12.423937084060434,0.9166049983532849,1.3864594620264648,5.097841136702588,6.383917038984158,4.94479460611405,1.5106183056176812,0.6111111111111112,22.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,8.410497912085017,1.0,4.013600000000003,89.04550000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
nordihydrocapsaicin,0,Capsaicinoid,11.743055949231545,11.743055949231545,0.07554516250944854,0.07554516250944854,0.6835969687824273,10.666666666666666,293.40700000000004,266.1909999999999,293.199093724,118.0,0.2197601547721156,-0.5042545920952964,0.5042545920952964,0.2197601547721156,1.2857142857142858,2.0476190476190474,2.7142857142857144,16.4740296008648,10.044363154302967,2.048761555966923,-2.0835189670186596,2.255900482083327,-2.2181254472450873,5.753300652582713,-0.12089504858797266,2.453218991387536,2.2352332403631707,443.661402843934,15.664925939000156,13.315751940305475,13.315751940305475,10.024075805453151,7.651746251013227,7.651746251013227,5.7761130664455775,5.7761130664455775,3.41912802468084,3.41912802468084,2.135950652465251,2.135950652465251,-1.71,38108.303812213984,17.341840331778126,9.26720270079479,7.022224373343465,127.06492964321438,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,39.17630633662089,30.034913297707618,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,52.49633891992388,7.109797541277533,23.762552697081826,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,51.5150340057083,18.19910120538483,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,18.71508986212249,24.323000783710405,19.951440787129552,18.19910120538483,0.0,19.16426300338758,4.736862953800049,5.0407780886041165,0.0,11.743055949231545,12.398898792509247,0.9146368318396639,1.3500515321632058,5.088549332611833,5.053996014992518,4.901527775257102,1.5085056827907728,0.5882352941176471,21.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,7.652873788543156,1.0,3.6235000000000026,84.42850000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
homocapsaicin,0,Capsaicinoid,11.81022218226899,11.81022218226899,0.06459661333669309,0.06459661333669309,0.5022505295052618,11.130434782608695,319.44500000000005,290.213,319.21474378799996,128.0,0.21976015629425952,-0.5042545920952964,0.5042545920952964,0.21976015629425952,1.3043478260869565,2.0869565217391304,2.782608695652174,16.474031784939115,10.101319251207842,2.045859825592258,-2.0798627752538934,2.255832741139783,-2.2179357310703933,5.753323584311267,-0.12089323985251903,2.524637391382688,2.171373563902639,509.3362310786294,17.079139501373252,14.470452478684727,14.470452478684727,11.024075805453153,8.318412917679893,8.318412917679893,6.05443550230991,6.05443550230991,3.5294273651055863,3.5294273651055863,2.2139440640399926,2.2139440640399926,-1.9699999999999998,102704.77371883912,19.07755111745126,10.705579715417464,8.287550870843369,139.10521083982337,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,38.486703304436624,42.87655654355964,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,52.49633891992388,7.109797541277533,35.91459291074959,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,51.5150340057083,30.351141419052592,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,24.63299590828388,31.246737983401033,7.109797541277533,18.19910120538483,0.0,31.31630321705534,4.736862953800049,5.050528633833714,0.0,11.81022218226899,12.426972105057313,0.9090950277489087,1.20311079271376,5.084191326130949,9.21487636983766,4.793295073495485,1.5077084889132217,0.5263157894736842,23.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,8.879836707079392,1.0,4.179700000000003,93.56850000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
homodihydrocapsaicin,0,Capsaicinoid,11.824207521775163,11.824207521775163,0.08261319496934605,0.08261319496934605,0.5937585420917653,10.782608695652174,321.461,290.213,321.23039385199996,130.0,0.2197601547666301,-0.5042545920952964,0.5042545920952964,0.2197601547666301,1.173913043478261,1.8695652173913044,2.5652173913043477,16.47403206513076,10.033485100351221,2.048382418164136,-2.0826324216900245,2.2560908387549636,-2.217995428765975,5.753305817253547,-0.12089531359246497,2.524637391382688,2.1253493634141103,471.6825713644642,17.079139501373252,14.72996550267857,14.72996550267857,11.024075805453153,8.651746251013227,8.651746251013227,6.483219847632124,6.483219847632124,3.91912802468084,3.91912802468084,2.489504043058525,2.489504043058525,-1.71,102704.77371883912,19.336970408642554,10.923588463289688,8.480931648815773,139.79481387200764,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,52.017949582472916,30.034913297707618,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,65.33798216577591,7.109797541277533,23.762552697081826,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,64.35667725156033,18.19910120538483,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,18.71508986212249,24.323000783710405,32.79308403298157,18.19910120538483,0.0,19.16426300338758,4.736862953800049,5.056038234123534,0.0,11.824207521775163,12.445730687193873,0.9182272591538674,1.4136233322956677,5.1058310354891905,7.74578117431233,4.978079024112769,1.5124817315436072,0.631578947368421,23.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,9.183874211774864,1.0,4.403700000000004,93.66250000000007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
nonivamide,0,Capsaicinoid,11.734896227009322,11.734896227009322,0.08104940896111557,0.08104940896111557,0.6456037579966217,10.380952380952381,293.40700000000004,266.1909999999999,293.199093724,118.0,0.21976015476663008,-0.5042545920952964,0.5042545920952964,0.21976015476663008,1.1904761904761905,1.9047619047619047,2.619047619047619,16.47402945498315,10.095764820465034,2.0460909362004585,-2.080511036527872,2.2557951019582214,-2.2179752120589447,5.753297326874599,-0.1208951569440178,2.4956137168829846,2.2054207533570502,432.0434389921833,15.501789232183626,13.152615233488945,13.152615233488945,10.168233757796584,7.79590420335666,7.79590420335666,5.300697862919961,5.300697862919961,3.491207000852557,3.491207000852557,2.1869181852972552,2.1869181852972552,-1.71,45407.6915786859,17.341840331778126,10.08009708455063,7.022224373343465,127.06492964321438,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,45.09421238278228,24.117007251546223,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,0.0,58.41424496608527,7.109797541277533,23.762552697081826,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,0.0,57.43294005186969,18.19910120538483,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,18.71508986212249,18.405094737549014,32.79308403298157,18.19910120538483,0.0,12.240525803696954,4.736862953800049,5.041356521160571,0.0,11.734896227009322,12.400513730150966,0.9175424026997802,0.6202428443346908,5.094540128593888,7.683934204042741,2.6637630437977657,1.5098775648769405,0.5882352941176471,21.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,8.324163531861867,1.0,3.7676000000000025,84.49850000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
norcapsaicin,0,Capsaicinoid,11.718962978710003,11.718962978710003,0.04165627362055968,0.04165627362055968,0.5698642054258842,11.047619047619047,291.391,266.1909999999999,291.18344366,116.0,0.21977161273882576,-0.5042545920952964,0.5042545920952964,0.21977161273882576,1.4285714285714286,2.1904761904761907,2.857142857142857,16.474029318577163,10.130035490939978,2.0432952211693935,-2.07781819656122,2.2555969187868956,-2.21747737470971,5.75359415236499,-0.12085075721426584,2.453218991387536,2.296352926100135,480.92360648750144,15.664925939000156,13.056238916311631,13.056238916311631,10.024075805453151,7.318412917679894,7.318412917679894,5.347328721123363,5.347328721123363,3.0294273651055867,3.0294273651055867,1.8698918740619153,1.8698918740619153,-1.9699999999999998,38108.303812213984,17.082548607461902,9.055605217780728,6.837769161414126,126.37532661103012,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,32.06588168151062,36.455734920633624,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,39.65469567407185,7.109797541277533,35.91459291074959,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,38.673390759856275,30.351141419052592,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,24.63299590828388,18.405094737549014,7.109797541277533,18.19910120538483,0.0,31.31630321705534,4.736862953800049,5.033173634976936,0.0,11.718962978710003,12.368375019883823,0.9006514923334911,1.1188704026866219,5.057071422194529,6.590920086014367,4.709900082513337,1.5020748806868935,0.47058823529411764,21.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,7.366324585844043,1.0,3.3995000000000015,84.33450000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
dehydrocapsaicin,0,Capsaicinoid,11.682131702989839,11.682131702989839,0.08974510744483855,-0.12511017678676373,0.438372025677993,11.454545454545455,303.40200000000004,278.202,303.18344366,120.0,0.24342286061469573,-0.5042545920952817,0.5042545920952817,0.24342286061469573,1.3181818181818181,2.0454545454545454,2.727272727272727,16.47403006520431,10.15039212421077,2.028701602563936,-2.066312588080282,2.255207413537251,-2.197133933745569,5.868626341276824,-0.11619204250075144,2.4920250055706985,2.3357515176923225,533.1338480198982,16.372032720186702,13.503832673504336,13.503832673504336,10.524075805453153,7.49511628547863,7.49511628547863,5.375893827088205,5.375893827088205,3.00108570318542,3.00108570318542,1.83131130430427,1.83131130430427,-2.23,62666.952815086355,17.820581689428426,9.660222179701211,6.973596429915513,132.05066569324248,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,38.1419017883445,42.531755027467504,6.544756405912575,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,5.917906046161393,33.23387405114584,7.109797541277533,48.06663312441735,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,5.917906046161393,32.25256913693026,42.503181632720356,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,18.21217428535787,18.405094737549014,7.109797541277533,24.27512131221871,6.076020106833881,31.31630321705534,4.736862953800049,5.0284573863532405,0.0,11.682131702989839,12.302432507076231,0.8715432699582232,0.9311252330023844,5.005769697589752,9.514689344977182,4.669914992231461,1.4939358658216884,0.3888888888888889,22.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,7.825035385972444,1.0,3.5656000000000025,88.85750000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
olvanil,0,Capsaicinoid,11.970804274158773,11.970804274158773,0.0830271040252375,0.0830271040252375,0.1985621665038228,11.133333333333333,417.63400000000007,374.2900000000002,417.32429423599996,170.0,0.21976015476664074,-0.5042545920952964,0.5042545920952964,0.21976015476664074,0.9333333333333333,1.5333333333333334,2.1666666666666665,16.474040306187803,10.0752330258388,2.047589837786873,-2.080746091967909,2.256405658231596,-2.2179780811902594,5.7533374286073675,-0.12089654472758166,2.754410684826929,1.9263551468736526,597.9415464504475,21.86575026286255,19.25706324017403,19.25706324017403,14.668233757796587,11.945734117617716,11.945734117617716,8.117219605866985,8.117219605866985,5.399455291316418,5.399455291316418,3.4773279265730093,3.4773279265730093,-1.9699999999999998,3809314.16977674,26.06567606136283,17.85173801118585,13.289712709851326,183.65980564059964,15.160178952647087,0.0,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,76.50871746522809,49.800293743250265,12.965578028838586,7.109797541277533,14.637927532712578,5.907179729351506,5.316788604006331,0.0,103.35999632656737,7.109797541277533,35.91459291074959,11.49902366656781,10.05365155780638,0.0,11.49902366656781,0.0,18.123504665469746,11.339293589984397,0.0,102.37869141235178,30.351141419052592,0.0,0.0,58.56,0.0,9.901064578912528,11.65669156263541,18.71508986212249,18.405094737549014,77.73883539346366,18.19910120538483,0.0,24.392566017364715,4.736862953800049,5.085901580897043,0.0,11.970804274158773,12.532557781792079,0.9190257325014285,0.6245777193078075,5.127003432135844,21.667148826673973,2.7216114230559993,1.518035896143719,0.6538461538461539,30.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,15.510587337729596,1.0,7.054500000000009,125.95750000000007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0
nuvanil,0,Capsaicinoid,12.122956350477516,12.122956350477516,0.1065301373041545,0.1065301373041545,0.158335905244929,11.121212121212121,460.7030000000002,412.31900000000024,460.36649339599995,188.0,0.21976015476665334,-0.4928580711048451,0.4928580711048451,0.21976015476665334,0.9090909090909091,1.5454545454545454,2.1818181818181817,16.514031062483742,10.075214585819188,2.0692720537007867,-2.11878273713946,2.27514778544543,-2.2190500363985795,5.753399025993012,-0.12089702679750862,2.8353173178470734,2.01217804484597,646.0297038075825,23.98707060642219,21.209661766700656,21.209661766700656,16.206238560257372,13.123174890158346,13.123174890158346,8.73336681205629,8.73336681205629,5.758775356476154,5.758775356476154,3.755415997513265,3.755415997513265,-2.01,17156978.588284723,29.022268473701196,20.58661826377373,15.455241381823594,202.04889204371645,20.524181988768614,6.606881964512918,11.49902366656781,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,76.50871746522809,49.800293743250265,19.51033443475116,7.109797541277533,14.268263091671919,5.907179729351506,5.316788604006331,5.733667477162185,103.35999632656737,20.261435911703025,35.91459291074959,11.49902366656781,20.524181988768614,0.0,11.49902366656781,0.0,26.168615641054533,11.339293589984397,0.0,102.37869141235178,30.351141419052592,0.0,0.0,73.58,0.0,4.794537184071822,5.907179729351506,37.61624006583189,18.405094737549014,70.62903785218613,7.109797541277533,18.19910120538483,24.392566017364715,15.207393384762284,10.921531463757574,0.0,12.122956350477516,2.9980421979661402,6.468461132631191,1.4387289007348723,5.699120779074619,21.74138320775816,3.6655637676013324,1.610878866665261,0.6785714285714286,33.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,18.10516249141944,1.0,6.686400000000006,138.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
